resource_set,technology,year,accredited_capacity_pct,accredited_capacity_pct_raw,interpolated,source
candidate,Solar+Storage,2030,68.44,66.46,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2032,64.37,64.04,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2034,62.36,62.62,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2036,61.88,60.43,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2038,61.14,62.58,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2040,61.24,60.42,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2042,60.79,60.72,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2044,59.66,61.23,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2046,58.62,57.02,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2048,57.89,57.6,False,same_as_candidate_storage_battery_mar_cc
candidate,Solar+Storage,2050,58.32,59.04,False,same_as_candidate_storage_battery_mar_cc
