hour,Denver_Res_mw,Denver_Com_mw,Denver_Ind_mw,Denver_mw,East_Res_mw,East_Com_mw,East_Ind_mw,East_mw,Mountain_Res_mw,Mountain_Com_mw,Mountain_Ind_mw,Mountain_mw,North_Res_mw,North_Com_mw,North_Ind_mw,North_mw,South_Res_mw,South_Com_mw,South_Ind_mw,South_mw,West_Res_mw,West_Com_mw,West_Ind_mw,West_mw
6202,1074.1148870543282,1045.3025146801026,633.5702089631653,2752.987610697596,59.13566417229228,35.183610735283565,72.88433979260076,167.20361470017662,32.90613862395192,60.46375908036119,22.470025971851268,115.83992367616437,202.159973980676,139.6015997110075,178.90021612626109,520.6617898179446,346.42690765098087,217.59217117549295,165.59695109884095,729.6160299253147,160.01350592158263,108.18749662617527,133.9927675762911,402.193770124049
6203,1247.3759487284433,1210.4097659570891,644.2221781225115,3102.007892808044,58.44762945443214,40.41884246061891,74.10971581042301,172.97618772547406,34.28528245917039,66.81463022267185,22.847805766853885,123.94771844869612,229.9742338369649,160.49522634073654,181.9079957816459,572.3774559593473,412.3945132718734,255.21688234681866,168.38106814069695,835.992463759389,170.0253771033182,123.25136582088821,136.24553578983108,429.5222787140375
6204,1399.4590507791836,1388.778407448153,633.088808195608,3421.326266422945,61.22371083879138,49.54428230175694,72.82896064657605,183.5969537871244,34.44253815502846,71.80267612016564,22.45295274524299,128.6981670204371,255.04120596099378,194.91327638088222,178.76428375421932,628.7187660960954,447.8953669998171,295.9261113281601,165.47112684410746,909.2926051720847,199.65820163712448,143.0683689732444,133.89095688468058,476.61752749504944
6205,1551.3704359346573,1534.4748149440898,661.3284704296833,3747.1737213084302,74.82594012876955,62.988717482687356,76.07758109744117,213.89223870889808,36.62032709691649,77.39425568930055,23.454492803249206,137.46907558946623,279.9522881406775,224.9181598001389,186.73827243856167,691.6087203793782,502.5787899489573,336.9592913388844,172.8521588116251,1012.3902400994668,211.07550168915066,165.690017691306,139.86331866026939,516.6288380407261
6206,1692.3683362016748,1649.6027637074635,656.0940480389035,3998.065147948042,85.73805170413891,76.26944964977845,75.475426174829,237.48292752874636,41.40866622611513,81.45679149782156,23.26885022504001,146.1343079489767,302.5858358062814,245.16677788378357,185.26023688108316,733.0128505711482,573.5949479310352,371.8019878002554,171.48403200197734,1116.8809677332679,233.22710018406792,186.8055327748527,138.75629889690063,558.7889318558213
6207,1778.587714886851,1730.2534865151592,671.9665562813464,4180.807757683357,96.63737514231458,83.32186876669903,77.30136001410507,257.26060392311865,42.3434527204937,85.09290390149836,23.83178021669757,151.26813683868963,342.34991205983897,271.5209497731519,189.7421318863516,803.6129937193424,615.6343038221158,396.97436574802305,175.63264715789066,1188.2413167280295,250.57220557929963,200.7720604376918,142.1131507148908,593.4574167318823
6208,1865.6036589683558,1786.5048321095294,684.5267248158139,4336.635215893699,99.13735268280024,88.03222202409685,78.74625053826117,265.91582524515826,46.4915069881276,88.09646719836401,24.277235683491345,158.86520986998295,402.85474924153516,297.058027637366,193.28872677608882,893.2015036549901,685.3148025303395,404.89673191765456,178.91551239550847,1269.1270468435027,280.37325796443827,212.21061765879236,144.76948101475153,637.3533566379822
6209,1972.2960340251088,1833.0459125684629,668.76822735428,4474.110173947852,107.01525285281956,90.73137584121679,76.93343221543176,274.6800609094681,50.18026488707122,91.5349577646609,23.71834916668764,165.43357181841975,424.0169870655646,308.23417089104,188.83902481439597,921.0901827710006,703.7056482690278,399.00793061064314,174.79669636437063,1277.5102752440416,312.3682516255326,216.48523463980206,141.43674115760078,670.2902274229353
6210,2076.5573896567485,1813.7624327245644,677.5943331438896,4567.914155525203,118.01479748841396,91.43486642144737,77.94876545603358,287.3984293658949,58.21712853555634,93.77066671303945,24.031373395916138,176.01916864451192,456.6323047409413,309.6253318186918,191.33123832282212,957.5888748824552,738.1793810559604,395.8414839668898,177.1035854638866,1311.1244504867368,330.06764678979346,214.85352860689198,143.30336039717375,688.2245357938591
6211,2081.3170667707045,1733.1196614286653,699.7706468899986,4514.207375089369,119.58426322835908,88.23944560078249,80.49987338938136,288.3235822185229,60.717206142830584,91.47369776760223,24.81787241178758,177.0087763222204,474.5972204614522,296.9338675874593,197.59312890090854,969.12421694982,758.5984308138404,381.26457272063044,182.89983328459257,1322.7628368190635,341.4429753455224,212.517418293907,147.99339413209964,701.953787771529
