zone,forecast_year,summer_peak_demand_forecast_mw_idx,winter_peak_demand_forecast_mw_idx,net_demand_forecast_mwh_idx
East,2040,1.3366050763338504,1.5071297233762486,1.0679709644359423
East,2041,1.3647393265192076,1.5508759049723568,1.0727530378081682
East,2042,1.3934657755877708,1.5958918700347169,1.0775565239589235
East,2043,1.4227968887559563,1.6422144754955759,1.0823815187686034
East,2044,1.4527453936209862,1.689881648102225,1.0872281185469284
East,2045,1.4833242856837523,1.7389324154696173,1.0920964200348668
East,2046,1.5145468339879302,1.789406938034323,1.0969865204065659
East,2047,1.5464265868777913,1.841346541935986,1.1018985172712912
East,2048,1.578977377877212,1.8947937528532033,1.1068325086753752
East,2049,1.6122133316924294,1.9497923308215277,1.1117885931041742
East,2050,1.6461488703411498,2.0063873060621056,1.1167668694840345
Mountain,2025,1.0,1.0,1.0
Mountain,2026,1.0,1.023656996540377,1.0015771972855763
Mountain,2027,1.0173861565093594,1.0255575520381242,1.004137582489434
Mountain,2028,1.0371736897274082,1.060790186049721,1.008217185921061
Mountain,2029,1.066432674979867,1.1063658767065927,1.0139658292247835
Mountain,2030,1.0997168119006486,1.1595477100474432,1.0185406016434575
Mountain,2031,1.1269560202839448,1.2030789134204412,1.0228343253232348
Mountain,2032,1.1570346064460242,1.2472319677015933,1.0262587678525619
Mountain,2033,1.1879504522163777,1.2906870348101414,1.030423323591772
Mountain,2034,1.2146887450417094,1.3300092136121853,1.0345880948836648
Mountain,2035,1.2452628823172398,1.3764047296520927,1.0386393190169938
Mountain,2036,1.276606581238878,1.4244186885468155,1.042706406871411
Mountain,2037,1.3087392119403363,1.474107547417599,1.0467894205658312
Mountain,2038,1.3416806321083148,1.525529732813605,1.0508884224624135
Mountain,2039,1.3754511992543794,1.578745709412657,1.055003475167514
Mountain,2040,1.4100717832957277,1.6338180511185152,1.0591346415326413
Mountain,2041,1.4455637794526157,1.6908115146382818,1.0632819846554173
Mountain,2042,1.481949121470419,1.7497931156264497,1.0674455678805406
Mountain,2043,1.5192502951744962,1.810832207485131,1.071625454800754
Mountain,2044,1.557490352366234,1.8740005629131222,1.0758217092578155
Mountain,2045,1.5966929250688604,1.9393724582996934,1.0800343953434741
Mountain,2046,1.6368822401318293,2.007024761062338,1.084263577400448
Mountain,2047,1.6780831342028038,2.077037020031178,1.0885093200234077
Mountain,2048,1.7203210690764879,2.149491558986302,1.0927716880599625
Mountain,2049,1.7636221474297953,2.2244735734580257,1.097050746611651
Mountain,2050,1.8080131289530765,2.3020712309038904,1.1013465610349356
North,2025,1.0,1.0,1.0
North,2026,1.0,1.0150891632373114,1.0010059851536472
North,2027,1.0149422905749854,1.019486700616379,1.0026390779355423
North,2028,1.029232964460541,1.0459407935031462,1.0075332473222893
North,2029,1.0539314009401228,1.0801068639787599,1.0169482351575676
North,2030,1.0773443406674694,1.1170539193981868,1.0228243799197805
North,2031,1.0976722107928598,1.1468899135734103,1.028357220634895
North,2032,1.11775626360387,1.176963278250508,1.0313041804540592
North,2033,1.1406860641608163,1.208024832111393,1.0371051764952997
North,2034,1.160309148584707,1.2361317716948195,1.0425389131099123
North,2035,1.1820300349964468,1.2678340959648413,1.047526636099376
North,2036,1.2041575345139153,1.300349470580413,1.052538221392977
North,2037,1.2266992588991108,1.3336987473522337,1.0575737831529413
North,2038,1.249662962405554,1.3679033128647857,1.0626334360876704
North,2039,1.273056544445718,1.402985102191355,1.067717295454355
North,2040,1.2968880523083905,1.4389666129607919,1.0728254770616004
North,2041,1.321165683926906,1.4758709197850326,1.0779580972720637
North,2042,1.3458977906991982,1.5137216890566372,1.0831152730051057
North,2043,1.371092880360645,1.5525431941258283,1.0882971217394533
North,2044,1.3967596199106904,1.5923603308667678,1.0935037615158762
North,2045,1.422906838594255,1.633198633643052,1.098735310939876
North,2046,1.4495435309389564,1.6750842916826636,1.1039918891843876
North,2047,1.4766788598491882,1.718044165872884,1.1092736159924936
North,2048,1.5043221597581176,1.7621058059859318,1.1145806116801529
North,2049,1.532482939838689,1.8072974683463794,1.1199129971389405
North,2050,1.561170887274738,1.8536481339516735,1.1252708938388023
South,2025,0.9999999999999998,0.9999999999999998,0.9999999999999998
South,2026,1.0015353464770866,1.0139590235946572,1.0023384762064653
