year,layer,component,name,bus,carrier,p_nom
2050,vintage,Generator,Built_Solar:PV_Mountain_2040,Mountain,Solar:PV,78.73066689531314
2050,vintage,Generator,Built_Solar:PV_South_2040,South,Solar:PV,2945.615939244074
2050,vintage,Generator,Built_Solar:PV_West_2040,West,Solar:PV,1029.9184452878708
2050,vintage,Generator,Built_Wind_North_pt1_2040,North,Wind,177.37575905658127
2050,vintage,Generator,Built_Gas:CT_South_2040,South,Gas:CT,2662.294870302895
2050,vintage,Generator,Built_Solar:PV_South_2045,South,Solar:PV,218.3279805802004
2050,vintage,Generator,Built_Wind_East_pt1_2045,East,Wind,1251.342503388943
2050,vintage,Generator,Built_Wind_North_pt1_2045,North,Wind,765.4477353212715
2050,vintage,Generator,Built_Gas:CT_Denver_2045,Denver,Gas:CT,1703.025999344117
2050,vintage,Generator,Built_Gas:CT_South_2045,South,Gas:CT,1930.8396791886214
2050,new_build,Generator,Candidate_Solar:PV_Mountain,Mountain,Solar:PV,377.92506999669627
2050,new_build,Generator,Candidate_Solar:PV_South,South,Solar:PV,901.7155698109398
2050,new_build,Generator,Candidate_Wind_East_pt1,East,Wind,993.3338622413888
2050,new_build,Generator,Candidate_Wind_North_pt1,North,Wind,1021.8973545666357
2050,new_build,Generator,Candidate_Gas:CT_Denver,Denver,Gas:CT,3567.464998341951
2050,new_build,Generator,Candidate_Gas:CT_West,West,Gas:CT,15.464782037536164
2050,existing,StorageUnit,Denver_Hydro:Pumped_agg,Denver,Hydro:Pumped,340.0
2050,existing,StorageUnit,Mountain_Hydro:Pumped_agg,Mountain,Hydro:Pumped,230.0
2050,existing,StorageUnit,North_Hydro:Pumped_agg,North,Hydro:Pumped,8.5
2050,vintage,StorageUnit,Built_Storage:Battery_North_2040,North,Storage:Battery,303.03886677059927
2050,vintage,StorageUnit,Built_Storage:Battery_East_2045,East,Storage:Battery,582.7328418993435
2050,new_build,StorageUnit,Candidate_Storage:Battery_North,North,Storage:Battery,1214.1575624376583
2050,new_build,StorageUnit,Candidate_Storage:Battery_South,South,Storage:Battery,290.52235907028677
