tech_class,atb_year,scenario,fixed_om,variable_om,ref_cf,fixed_share
Storage:Battery,2035,Moderate,30.0,0.0,0.25,1.0
Solar:PV,2024,Moderate,21.61,0.0,0.25,1.0
Solar:PV,2025,Moderate,21.0,0.0,0.25,1.0
Solar:PV,2026,Moderate,20.4,0.0,0.25,1.0
Solar:PV,2027,Moderate,19.79,0.0,0.25,1.0
Solar:PV,2028,Moderate,19.19,0.0,0.25,1.0
Solar:PV,2029,Moderate,18.59,0.0,0.25,1.0
Solar:PV,2030,Moderate,17.99,0.0,0.25,1.0
Solar:PV,2031,Moderate,17.39,0.0,0.25,1.0
Solar:PV,2032,Moderate,16.8,0.0,0.25,1.0
Solar:PV,2033,Moderate,16.2,0.0,0.25,1.0
Solar:PV,2034,Moderate,15.61,0.0,0.25,1.0
Solar:PV,2035,Moderate,15.02,0.0,0.25,1.0
Wind,2024,Moderate,31.65,0.0,0.35,1.0
Wind,2025,Moderate,31.25,0.0,0.35,1.0
Wind,2026,Moderate,30.85,0.0,0.35,1.0
Wind,2027,Moderate,30.46,0.0,0.35,1.0
Wind,2028,Moderate,30.06,0.0,0.35,1.0
Wind,2029,Moderate,29.66,0.0,0.35,1.0
Wind,2030,Moderate,29.26,0.0,0.35,1.0
Wind,2031,Moderate,29.06,0.0,0.35,1.0
Wind,2032,Moderate,28.86,0.0,0.35,1.0
Wind,2033,Moderate,28.66,0.0,0.35,1.0
Wind,2034,Moderate,28.46,0.0,0.35,1.0
Wind,2035,Moderate,28.26,0.0,0.35,1.0
Hydro,2024,Moderate,92.0,0.0,0.4,1.0
Hydro,2025,Moderate,92.0,0.0,0.4,1.0
Hydro,2026,Moderate,92.0,0.0,0.4,1.0
Hydro,2027,Moderate,92.0,0.0,0.4,1.0
Hydro,2028,Moderate,92.0,0.0,0.4,1.0
Hydro,2029,Moderate,92.0,0.0,0.4,1.0
Hydro,2030,Moderate,92.0,0.0,0.4,1.0
Hydro,2031,Moderate,92.0,0.0,0.4,1.0
Hydro,2032,Moderate,92.0,0.0,0.4,1.0
Hydro,2033,Moderate,92.0,0.0,0.4,1.0
Hydro,2034,Moderate,92.0,0.0,0.4,1.0
Hydro,2035,Moderate,92.0,0.0,0.4,1.0
Hydro:Pumped,2024,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2025,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2026,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2027,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2028,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2029,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2030,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2031,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2032,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2033,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2034,Moderate,20.15,0.58,0.15,0.9636
Hydro:Pumped,2035,Moderate,20.15,0.58,0.15,0.9636
