resource_name,zone,tech_type,status_category,group_type,is_grouped,unit_count,nameplate_mw,summer_mw,storage_mwh,max_charge_mw,max_discharge_mw,commission_date,retirement_date,encompass_cf_shape,plant_codes,generator_ids,plant_name,energy_source,prime_mover,ba_code,filter_source
fort_st_vrain__6,North,Gas:CT,operating,large_thermal,False,1,140.3,140.0,,,,2009-05-01,,,6112,6,Fort St Vrain,NG,GT,PSCO,CO+BA
jm_shafer_generating_station__LMA,North,Gas:CT,operating,large_thermal,False,1,58.5,272.0,,,,1994-06-01,,,50707,LMA,JM Shafer Generating Station,NG,CT,PSCO,CO+BA
manchief_electric_generating_station__UN1,North,Gas:CT,operating,large_thermal,False,1,150.0,125.0,,,,2000-06-01,,,55127,UN1,Manchief Electric Generating Station,NG,GT,PSCO,CO+BA
manchief_electric_generating_station__UN2,North,Gas:CT,operating,large_thermal,False,1,150.0,125.0,,,,2000-06-01,,,55127,UN2,Manchief Electric Generating Station,NG,GT,PSCO,CO+BA
rawhide_GasCT_proposed,North,Gas:CT,proposed,proposed,True,5,223.0,223.0,,,,,,,6761,G; H; LM3; LM4; LM5,,NG,GT,PSCO,CO+BA
rawhide__F,North,Gas:CT,operating,large_thermal,False,1,149.6,128.0,,,,2008-06-01,,,6761,F,Rawhide,NG,GT,PSCO,CO+BA
rocky_mountain_energy_center__CTG1,North,Gas:CT,operating,large_thermal,False,1,175.1,146.0,,,,2004-05-01,,,55835,CTG1,Rocky Mountain Energy Center,NG,CT,PSCO,CO+BA
rocky_mountain_energy_center__CTG2,North,Gas:CT,operating,large_thermal,False,1,175.1,146.0,,,,2004-05-01,,,55835,CTG2,Rocky Mountain Energy Center,NG,CT,PSCO,CO+BA
spindle_hill_energy_center__GEN1,North,Gas:CT,operating,large_thermal,False,1,210.0,135.0,,,,2007-05-01,,,56445,GEN1,Spindle Hill Energy Center,NG,GT,PSCO,CO+BA
spindle_hill_energy_center__GEN2,North,Gas:CT,operating,large_thermal,False,1,210.0,135.0,,,,2007-05-01,,,56445,GEN2,Spindle Hill Energy Center,NG,GT,PSCO,CO+BA
North_PSCO_GasST_small,North,Gas:ST,operating,small_group,True,1,3.0,3.0,,,,,,,58081,ATB-2,,NG,ST,PSCO,CO+BA
pawnee__1,North,Gas:ST,operating,large_thermal,False,1,552.3,505.0,,,,1981-11-01,,,6248,1,Pawnee,NG,ST,PSCO,CO+BA
North_WACM_Hydro_small,North,Hydro,operating,small_group,True,10,184.40000000000003,192.90000000000003,,,,,,,513; 515; 517; 518; 519; 58622,1; 2; 3,,WAT,HY,WACM,CO+BA
flatiron__3,North,Hydro:Pumped,operating,individual_tech,False,1,8.5,8.5,,,,1954-05-01,,,518,3,Flatiron,WAT,PS,WACM,CO+BA
North_WACM_Other_small,North,Other,operating,small_group,True,1,3.2,3.1,,,,,,,59143,FR-1,,LFG,IC,WACM,CO+BA
North_PSCO_SolarPV_existing,North,Solar:PV,operating,renewable_zone,True,21,136.10000000000002,136.10000000000002,,,,,,North_Wind_CF,57141; 57507; 60023; 60351; 60720; 61462; 62224; 62255; 63379; 63722; 63753; 64021; 64386; 65520; 65609; 66436; 67466; 67467; 68041; 68639; 68640,218; 225; 53971; 53973; 948; BSPV1; CBEP4; CBEP5; CBEP7; CSU1; CSUII; FTLUP; GLCRS; GLCRV; GREEL; PV1; USCOG; VASQV; WELD1; X0134,,SUN,PV,PSCO,CO+BA
North_WACM_SolarPV_existing,North,Solar:PV,operating,renewable_zone,True,19,54.3,54.3,,,,,,North_Wind_CF,60247; 60248; 60283; 60497; 61314; 61425; 62663; 63586; 63587; 64152; 64357; 64358; 64648; 64650; 64651; 64652; 64655; 68943; 68964,CAREY; COYCS; KERII; KERS; MVRKS; PI20; PI35; SC; SKY B; SKYC; SNAKE; SO390; VVS,,SUN,PV,WACM,CO+BA
beclee_solar_csg_SolarPV_proposed,North,Solar:PV,proposed,proposed,False,1,5.0,5.0,,,,,,North_Solar_CF,67364,BECLS,BecLee Solar CSG,SUN,PV,PSCO,CO+BA
black_hollow_sun_SolarPV_proposed,North,Solar:PV,proposed,proposed,False,1,107.0,107.0,,,,,,North_Solar_CF,64745,BHS02,Black Hollow Sun,SUN,PV,PSCO,CO+BA
dove_solar_csg_SolarPV_proposed,North,Solar:PV,proposed,proposed,False,1,5.0,5.0,,,,,,North_Solar_CF,67361,DOVES,Dove Solar CSG,SUN,PV,PSCO,CO+BA
lark_bunting_solar_csg_SolarPV_proposed,North,Solar:PV,proposed,proposed,False,1,5.0,5.0,,,,,,North_Solar_CF,67362,LARKS,Lark Bunting Solar CSG,SUN,PV,PSCO,CO+BA
